Disease name,Text
Vitiligo,"""I've had these light patches on my neck and face for years, but they seem to be spreading lately. I haven't noticed any pain or itching, but I'm starting to worry about sun exposure and potential complications. Could this be Vitiligo?"""
Vitiligo,"""I've get these lighter dapple on my neck_opening and boldness for years, but they look to glucinium unfold lately. ace haven't find any pain_in_the_neck operating_theater itching, simply I'm take_off to interest most Lord's_Day picture and potency complications. Could this personify Vitiligo?"""
Scabies,"""Doctor, I've noticed these small, red bumps on my wrists and elbows. They itch like crazy, and I'm starting to worry about bed bugs or something. Could it be something more serious?"""
Scabies,"""Doctor, I've notice these small, cerise bulge along my articulatio_radiocarpea and elbows. They itching similar crazy, and I'm pop_out to headache virtually be_intimate tease Beaver_State something. Could information_technology represent something more serious?"""
Vitiligo,"""Doctor, I noticed a pale patch around my knee recently, and it looks different from any sunspots I've had before. Is it something I should be concerned about? Should I use any special creams or lotions?"""
Vitiligo,"""Doctor, atomic_number_53 mark antiophthalmic_factor pallid speckle about my articulatio_genus recently, and IT flavor different from whatsoever sunspot I've experience before. be IT something 1 should exist relate about? Should single habit whatsoever particular cream_off operating_theatre lotions?"""
Hives (Urticaria),"Hives, also known as urticaria, typically present as raised, itchy welts on the skin, varying in size and shape. These welts are often red or pink and may appear suddenly, disappearing within hours or persisting for days. They can occur singularly or cluster together, spreading across different parts of the body. Alongside the skin rash, hives may cause a burning or stinging sensation and occasionally trigger swelling of the lips, eyelids, or throat, leading to difficulty breathing or swallowing. In some cases, hives can be accompanied by fever, fatigue, or digestive issues, although these systemic symptoms are less common."
Hives (Urticaria),"Hives, as_well love angstrom_unit urticaria, typically deliver deoxyadenosine_monophosphate raised, fretful wale on the skin, depart Indiana size and shape. These slash equal oftentimes loss operating_theater pinkish and Crataegus_laevigata come_along suddenly, melt within hours Beaver_State stay for days. They keister go_on singularly Oregon cluster together, circularize crossways different contribution of the body. aboard the clamber rash, hives May suit axerophthol burning OR edged sense_datum and on_occasion activate swell of the lips, eyelids, operating_theater throat, prima to trouble respire Beaver_State swallowing. Indiana or_so cases, nettle_rash buns personify accompanied aside fever, fatigue, OR digestive issues, although these systemic symptom make_up to_a_lesser_extent common."
Folliculitis,"""I have these small, hard bumps on my buttocks that hurt when I sit down. They're red and inflamed, and I'm worried about ingrown hairs."""
Folliculitis,"""I rich_person these small, unvoiced prominence along my cheek that wounded when i sit_around down. They're red-faced and inflamed, and I'm disquieted almost ingrown hairs."""
